kepid,kepoi_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_model_snr,koi_steff,koi_srad,ra,dec,koi_kepmag
5020044,K03802.01,FALSE POSITIVE,0,1,1,1,2.119100054,132.5911800,1.2470,8.21630,1.6511e+03,34.34,1571.0,195.70,6292.00,1.0780,294.305850,40.193779,13.835
11560037,K03874.01,FALSE POSITIVE,0,1,0,0,1.466535757,131.9926580,0.8240,0.82220,1.3464e+03,4.28,1671.0,86.10,5888.00,1.0200,292.357480,49.514511,15.446
11911561,K03875.01,FALSE POSITIVE,0,1,0,0,8.870415578,137.4810930,1.2060,1.28640,8.7310e+02,39.46,1151.0,43.80,6022.00,1.5140,290.149140,50.239178,13.579
6547322,K07786.01,FALSE POSITIVE,0,0,1,0,1.491317590,132.1676000,0.4670,4.72100,2.5800e+01,1.26,2475.0,10.30,6014.00,2.4290,298.307860,41.965389,13.953
3440118,K03876.01,CONFIRMED,0,0,0,0,19.577832790,131.7142100,0.6940,1.98570,4.3260e+02,1.96,621.0,37.20,5620.00,0.8840,290.440670,38.523560,12.624
9159265,K03877.01,FALSE POSITIVE,0,1,1,1,3.044766070,132.4370800,1.1590,9.56800,2.7260e+02,15.70,1126.0,67.00,5627.00,0.8180,293.682250,45.511398,14.506
4472818,K03878.01,CONFIRMED,0,0,0,0,70.967208700,182.6699100,0.5450,6.96230,7.8470e+02,2.84,438.0,69.30,5818.00,0.9860,293.885410,39.519810,12.720
5816806,K03645.01,FALSE POSITIVE,0,1,0,0,4.455433460,134.4539210,0.4690,5.11600,2.4568e+05,51.69,1106.0,508.60,5780.00,1.0000,298.337980,41.075291,17.046
6531496,K03646.01,FALSE POSITIVE,0,1,1,0,14.323889947,135.2259640,1.0730,4.83729,6.9072e+04,45.93,720.0,834.30,5853.00,0.8950,294.590520,41.946510,16.095
9661869,K03647.01,FALSE POSITIVE,0,1,0,0,20.427232317,135.8628070,5.4990,3.46429,1.2181e+05,601.32,749.0,526.60,6167.00,1.1210,296.657070,46.380520,16.677
6790592,K07791.01,CANDIDATE,0,0,0,0,106.187320000,180.7960000,0.0270,10.29000,2.6610e+02,231.85,2660.0,8.60,3287.00,152.9690,295.439730,42.209061,10.028
9411166,K01922.03,CONFIRMED,0,0,0,0,105.655265100,230.0986500,0.3710,9.39000,1.3669e+03,4.22,407.0,42.30,5741.00,1.1360,294.613650,45.984619,15.356
3097352,K03648.01,FALSE POSITIVE,0,1,0,0,4.029803201,134.4224330,0.1700,4.43010,1.9107e+05,47.58,1233.0,352.30,6024.00,1.0780,285.687040,38.261150,16.936
6066379,K03649.01,FALSE POSITIVE,0,1,1,0,1.303858554,131.6068720,0.9280,4.36797,1.2664e+05,73.29,2080.0,904.00,6282.00,1.3430,298.132480,41.334270,15.475
6508221,K00416.03,CANDIDATE,0,0,0,0,9.747658780,139.1642400,0.6580,2.62000,1.0200e+02,0.78,679.0,11.60,5176.00,0.7380,286.865480,41.989079,14.290
12154526,K02004.02,CONFIRMED,0,0,0,0,3.188990150,133.5262400,0.5260,2.72200,6.6200e+01,0.98,1309.0,18.40,5700.00,1.1760,288.646270,50.788979,13.351
6952971,K07798.01,CANDIDATE,0,0,0,0,309.891030000,259.0588000,0.5690,16.40000,3.2130e+02,2.15,314.0,10.70,6450.00,1.1550,293.172120,42.483238,14.706
3459199,K03725.01,FALSE POSITIVE,0,1,0,0,1.570518376,132.3405230,1.2950,3.20350,2.2132e+03,450.76,4106.0,76.70,5314.00,11.8200,295.202880,38.519550,10.055
